"identif" "d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "lsize" "razd" "raz95d" "duacq" "dusco" "durg" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm" "persist" "eta"
15 NA NA NA NA NA NA NA NA NA "1992-01-01" NA NA NA NA NA NA NA NA NA NA NA 13 14 15 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 0 0 0 NA NA NA NA 0.998156685158956 NA 0.123483853912901 NA 0 12
15 NA NA NA NA NA NA NA NA NA "1993-01-01" NA NA NA NA NA NA NA NA NA NA NA 13 14 15 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 0 0 0 NA NA NA NA 0.994739892944572 NA 0.118665919194348 NA 0 13
15 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA NA NA 13 14 15 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 0 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 14
20 NA NA NA NA NA NA NA NA NA "1992-01-01" 712 263 1568 44 32 12 0 260 NA NA NA 13 14 13 15 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.35755620091035 NA 0 0 0 0 1 0 0 0 0.0451282051282051 0.272727272727273 0.266666666666667 7.35755620091035 0.998156685158956 0 0.123483853912901 0 0 13
20 NA NA NA NA NA NA NA NA NA "1993-01-01" 840 238 1683 0.42 0.6 18 0 235 NA NA NA 13 14 13 15 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.42833319419081 NA 0 0 0 0 1 0 0 0 0.00038961038961039 0.967741935483871 0.217996289424861 7.42833319419081 0.994739892944572 0 0.118665919194348 0 0 14
20 NA NA NA NA NA NA NA NA NA "1994-01-01" 814 216 1967 40 24 16 0 209 NA NA NA 13 14 13 15 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.58426481838906 NA 0 0 0 0 1 0 0 0 0.0388349514563107 0.4 0.202912621359223 7.58426481838906 0.894230769230769 0 0.111177201406444 0 0 15
21 NA NA NA NA NA NA NA NA NA "1992-01-01" NA NA NA NA NA NA NA NA NA 0 0 20 20 18 10 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.998156685158956 NA 0.123483853912901 NA 0 8
21 NA NA NA NA NA NA NA NA NA "1993-01-01" NA NA NA NA NA NA NA NA NA 0 0 20 20 18 10 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.994739892944572 NA 0.118665919194348 NA 0 9
21 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA 0 0 20 20 18 10 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 10
22 NA NA NA NA NA NA NA NA NA "1992-01-01" 980 887 1022 74 57 17 0 845 NA 0 0 12 12 25 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.92951677076365 0 0 0 0 0 1 0 0 0 0.0396357793251205 0.22972972972973 0.452597750401714 6.92951677076365 0.998156685158956 0 0.123483853912901 0 0 11
