"d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "isgru" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "identif" "lsize" "razd" "raz92d" "duacq" "dusco" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm"
0 0 0 0 0 20 20 20 24 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "13" NA "0" "0" 0 0 0 1 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 13 10 13 8 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "14" NA "0" "0" 0 0 0 1 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 9 0 0 12 13 14 11 0 1989-01-01 110 362 322 138 136 2 0 362 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "15" 5.77455154554441 "0" "0" 0 0 1 0 0 0 0.292372881355932 0.0144927536231884 0.766949152542373 5.77455154554441 0.808654235860552 "0" 0.11015317264026 "0"
0 0 9 0 0 12 13 14 11 0 1990-01-01 188 581 358 166 159 7 13 568 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "15" 5.8805329864007 "0" "0" 0 0 1 0 0 0 0.215864759427828 0.0421686746987952 0.738621586475943 5.8805329864007 0.886655074983699 "0" 0.116473494204826 "0"
0 0 9 0 0 12 13 14 11 0 1991-01-01 151 1031 407 108 66 42 11 1020 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "15" 6.00881318544259 "0" "0" 0 0 1 0 0 0 0.0913705583756345 0.388888888888889 0.862944162436548 6.00881318544259 0.958094098883573 "0" 0.129344816950258 "0"
0 0 0 0 0 19 17 18 3 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "19" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 13 13 15 12 0 1989-01-01 483 272 1306 0.1 0.6 5 0 272 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "20" 7.17472430983638 "0" "0" 0 0 1 0 0 0 0.000132450331125828 0.892857142857143 0.360264900662252 7.17472430983638 0.808654235860552 "1" 0.11015317264026 "0"
0 0 0 0 0 13 13 15 12 0 1990-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "20" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.886655074983699 NA 0.116473494204826 NA
0 0 0 0 0 13 13 15 12 0 1991-01-01 553 261 1588 50 44 6 0 261 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "20" 7.37023064180708 "0" "0" 0 0 1 0 0 0 0.0614250614250614 0.12 0.320638820638821 7.37023064180708 0.958094098883573 "0" 0.129344816950258 "0"
2 0 0 0 0 13 14 14 10 0 1989-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "22" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.808654235860552 NA 0.11015317264026 NA
