"d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "isgru" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "identif" "razd" "raz98d" "duacq" "dusco" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm" "desi98"
NA NA NA NA NA NA NA NA NA 1 1995-01-01 86124 19239 66194 6289 2016 4273 1095 14957 NA NA NA NA NA NA NA NA 319 306 301 24 0 2 2 23 1 NA NA NA NA NA NA "2890417" 0 0 1 0 0 1 0 0 0.0596888850924898 0.679440292574336 0.141956853924053 11.1003451033765 0.83922276510508 "0" 0.112094395280236 "0" 0
NA NA NA NA NA NA NA NA NA 1 1996-01-01 87748 25153 64994 5243 788 4455 876 16069 NA NA NA NA NA NA NA NA 319 306 301 24 0 2 2 23 1 NA NA NA NA NA NA "2890417" 0 0 1 0 0 1 0 0 0.0464389155100486 0.8497043677284 0.142328234470908 11.0820502369248 0.883827117462531 "0" 0.115472637541575 "0" 0
NA NA NA NA NA NA NA NA NA 1 1997-01-01 99467 28126 82686 5283 680 4603 2218 17986 NA NA NA NA NA NA NA NA 319 306 301 24 0 2 2 23 1 NA NA NA NA NA NA "2890417" 0 0 1 0 0 1 0 0 0.0414050927558722 0.871285254590195 0.140963845979011 11.3228055801032 0.847376371132951 "1" 0.11414817232376 "0" 0
NA NA NA NA NA NA NA NA NA 0 1995-01-01 4433 3738 13236 1162 851 311 63 3675 NA NA NA NA NA NA NA NA 36 36 36 16 0 2 2 29 1 NA NA NA NA NA NA "5810297" 0 0 0 0 1 0 0 0 0.142210255782646 0.267641996557659 0.449761351119814 9.4906956690415 0.83922276510508 "0" 0.112094395280236 "0" 0
NA NA NA NA NA NA NA NA NA 0 1996-01-01 3777 3765 10357 691 432 259 69 3694 NA NA NA NA NA NA NA NA 36 36 36 16 0 2 2 29 1 NA NA NA NA NA NA "5810297" 0 0 0 0 1 0 0 0 0.0916202598780164 0.374819102749638 0.48979050649695 9.24541789858888 0.883827117462531 "0" 0.115472637541575 "0" 0
NA NA NA NA NA NA NA NA NA 0 1997-01-01 4823 3063 10083 426 257 169 71 2990 NA NA NA NA NA NA NA NA 36 36 36 16 0 2 2 29 1 NA NA NA NA NA NA "5810297" 0 0 0 0 1 0 0 0 0.0540197818919604 0.396713615023474 0.379152929241694 9.21860611639321 0.847376371132951 "0" 0.11414817232376 "0" 0
NA NA NA NA NA NA NA NA NA 0 1995-01-01 7933 2827 13110 825 410 415 15 2798 NA NA NA NA NA NA NA NA 32 33 39 26 0 2 2 26 1 NA NA NA NA NA NA "10220391" 0 0 0 0 0 0 1 0 0.0766728624535316 0.503030303030303 0.26003717472119 9.48113057675775 0.83922276510508 "0" 0.112094395280236 "0" 0
NA NA NA NA NA NA NA NA NA 0 1996-01-01 7352 2838 14028 931 465 466 13 2811 NA NA NA NA NA NA NA NA 32 33 39 26 0 2 2 26 1 NA NA NA NA NA NA "10220391" 0 0 0 0 0 0 1 0 0.0913640824337586 0.500537056928034 0.27585868498528 9.54881061126007 0.883827117462531 "0" 0.115472637541575 "0" 0
NA NA NA NA NA NA NA NA NA 0 1997-01-01 7524 2613 13792 889 487 402 15 2539 NA NA NA NA NA NA NA NA 32 33 39 26 0 2 2 26 1 NA NA NA NA NA NA "10220391" 0 0 0 0 0 0 1 0 0.0876985301371214 0.452193475815523 0.250468580447864 9.53184399290347 0.847376371132951 "0" 0.11414817232376 "0" 0
NA NA NA NA NA NA NA NA NA 0 1995-01-01 5888 8917 6498 150 -266 416 105 8812 NA NA NA NA NA NA NA NA 27 29 30 26 0 2 2 26 1 NA NA NA NA NA NA "13450821" 0 0 0 0 0 0 1 0 0.0101317122593718 2.77333333333333 0.595204322863897 8.77924971622905 0.83922276510508 "1" 0.112094395280236 "0" 0
NA NA NA NA NA NA NA NA NA 0 1996-01-01 6382 8770 7001 162 -268 430 68 8700 NA NA NA NA NA NA NA NA 27 29 30 26 0 2 2 26 1 NA NA NA NA NA NA "13450821" 0 0 0 0 0 0 1 0 0.0106916578669483 2.65432098765432 0.574181626187962 8.8538082749772 0.883827117462531 "1" 0.115472637541575 "0" 0
NA NA NA NA NA NA NA NA NA 0 1997-01-01 6669 9295 7290 -428 -831 403 39 9239 NA NA NA NA NA NA NA NA 27 29 30 26 0 2 2 26 1 NA NA NA NA NA NA "13450821" 0 0 0 0 0 0 1 0 -0.0268103232272613 -0.941588785046729 0.57873966424455 8.8942588250027 0.847376371132951 "0" 0.11414817232376 "0" 0
NA NA NA NA NA NA NA NA NA 0 1995-01-01 6591 3230 10730 691 -224 915 4 1634 NA NA NA NA NA NA NA NA 30 30 25 24 1 2 1 19 1 NA NA NA NA NA NA "16460967" 1 1 0 0 1 0 0 0 0.0703594338662051 1.32416787264834 0.166378169229203 9.28079883562474 0.83922276510508 "1" 0.112094395280236 "0" 1
NA NA NA NA NA NA NA NA NA 0 1996-01-01 8094 3708 10299 1177 29 1148 3 1610 NA NA NA NA NA NA NA NA 30 30 25 24 1 2 1 19 1 NA NA NA NA NA NA "16460967" 1 1 0 0 1 0 0 0 0.0997288595153364 0.97536108751062 0.136417556346382 9.2398020821258 0.883827117462531 "1" 0.115472637541575 "0" 1
NA NA NA NA NA NA NA NA NA 0 1997-01-01 7171 3396 11975 1140 139 1001 0 1530 NA NA NA NA NA NA NA NA 30 30 25 24 1 2 1 19 1 NA NA NA NA NA NA "16460967" 1 1 0 0 1 0 0 0 0.107883032081007 0.878070175438596 0.144790385161351 9.39057642227912 0.847376371132951 "1" 0.11414817232376 "0" 1
NA NA NA NA NA NA NA NA NA 0 1995-01-01 5866 3201 8211 813 403 410 18 3133 NA NA NA NA NA NA NA NA 57 59 61 36 0 2 2 NA 1 NA NA NA NA NA NA "18080201" 0 0 0 0 0 1 0 0 0.089665821109518 0.504305043050431 0.345538766957097 9.01322999770879 0.83922276510508 "0" 0.112094395280236 "0" 0
