"identif" "eta92c" "eta95c" "persist"
13 24 NA "0"
14 8 NA "0"
15 11 14 "0"
19 3 NA "0"
20 12 15 "0"
21 NA 10 "0"
22 10 13 "0"
24 7 NA "0"
28 4 7 "0"
30 NA 8 "0"
31 25 NA "0"
35 NA 9 "0"
36 NA 18 "0"
39 2 NA "0"
40 4 NA "0"
41 16 19 "0"
42 12 NA "0"
43 NA 19 "0"
44 14 NA "0"
46 31 NA "0"
48 NA NA "0"
49 6 NA "0"
53 NA 21 "0"
54 NA 8 "0"
55 10 NA "0"
58 NA 34 "0"
59 NA 13 "0"
60 13 NA "0"
61 7 NA "0"
62 105 NA "0"
63 16 19 "0"
64 31 NA "0"
67 5 NA "0"
69 17 20 "0"
70 17 NA "0"
71 9 NA "0"
74 NA 6 "0"
75 18 NA "0"
76 20 NA "0"
77 NA 33 "0"
80 7 NA "0"
83 2 NA "0"
84 NA 29 "0"
87 NA 18 "0"
89 2 5 "0"
91 NA 14 "0"
98 12 NA "0"
101 14 NA "0"
104 7 10 "0"
106 NA 14 "0"
107 12 NA "0"
108 83 NA "0"
109 21 24 "0"
110 20 NA "0"
113 31 34 "0"
115 NA 14 "0"
116 1 NA "0"
119 NA NA "0"
120 NA 7 NA
123 4 NA NA
127 31 NA "0"
128 12 NA "0"
129 9 NA "0"
137 NA 20 NA
139 15 18 "0"
140 NA 29 "0"
142 12 15 "0"
144 NA 8 "0"
149 NA 14 "0"
156 NA 10 NA
157 16 NA "0"
164 5 8 "0"
165 12 15 "0"
170 13 NA "0"
171 NA 16 "0"
172 11 14 "0"
173 5 NA "0"
175 NA 26 "0"
179 15 NA "0"
181 NA 35 "0"
189 NA 8 "0"
191 NA 10 "0"
192 6 NA "0"
201 NA 35 "0"
206 28 31 "0"
207 21 NA "0"
208 NA 22 "0"
211 57 NA "0"
214 NA 11 "0"
215 16 NA "0"
225 NA 14 "0"
226 30 NA "0"
227 NA 32 "0"
228 19 NA "0"
230 NA 9 "0"
231 NA 19 "0"
234 12 15 "0"
236 NA 22 "0"
245 65 NA "0"
250 22 25 "0"
251 14 NA "0"
252 22 25 "0"
256 11 NA "0"
259 31 34 "0"
260 30 NA "0"
263 NA 23 "0"
265 6 9 "0"
268 27 30 "0"
270 11 14 "0"
271 NA NA "0"
277 14 17 "0"
278 21 NA "0"
280 13 16 "0"
284 30 33 "0"
290 NA 6 "0"
292 24 27 "0"
294 15 18 "0"
297 NA 13 "0"
302 8 11 "0"
304 21 NA "0"
305 NA 15 "0"
309 7 NA "0"
310 8 NA "0"
316 25 28 "0"
318 9 NA "0"
319 8 NA "0"
320 NA 17 "0"
323 26 NA "0"
324 13 16 "0"
328 19 NA "0"
331 13 16 "0"
334 NA 15 "0"
335 7 NA "0"
337 NA 8 "0"
339 22 25 "0"
342 NA NA "0"
346 19 22 "0"
347 NA 22 "0"
351 9 NA "0"
352 2 5 "0"
354 18 NA "0"
359 NA 11 "0"
361 4 7 "0"
363 10 NA "0"
366 23 26 "0"
370 3 NA NA
372 31 NA "0"
377 13 16 "0"
378 NA 16 "0"
380 NA 22 "0"
382 31 NA "0"
383 29 NA "0"
386 NA 27 "0"
387 NA 9 "0"
389 19 22 "0"
391 10 NA "0"
392 NA 15 "0"
393 5 NA "0"
396 42 NA "0"
408 8 NA "0"
413 11 14 "0"
416 NA 15 "0"
418 32 35 "0"
420 4 NA "0"
422 11 14 "0"
426 NA 16 NA
430 9 12 "0"
433 20 23 "0"
439 1 NA "0"
440 18 NA "0"
443 NA 23 "0"
446 NA 6 "0"
447 6 NA "0"
448 6 9 "0"
452 NA 6 "0"
456 NA 8 "0"
461 NA 19 "0"
463 NA 14 "0"
466 5 8 "0"
472 15 18 "0"
474 NA 19 "0"
475 NA 16 "0"
479 10 13 "0"
481 NA 13 "0"
482 12 15 "0"
484 15 18 "0"
485 32 NA "0"
486 36 39 "0"
488 31 34 "0"
489 12 NA "0"
490 4 7 "0"
493 15 18 "0"
494 19 22 "0"
497 13 16 "0"
505 NA 13 "0"
506 18 21 "0"
507 39 42 "0"
508 19 22 "0"
510 12 NA "0"
512 20 23 "0"
515 NA 7 "0"
517 7 NA "0"
520 6 NA "0"
522 36 39 "0"
525 NA 8 NA
526 30 33 "0"
527 30 33 "0"
528 NA 7 "0"
530 NA 27 "0"
531 9 12 "0"
535 11 14 "0"
536 10 13 "0"
541 NA 15 "0"
545 14 17 "0"
548 26 NA "0"
550 NA 8 "0"
551 NA 19 "0"
557 17 20 "0"
558 NA 17 NA
559 NA 16 "0"
560 NA 23 "0"
562 NA 16 "0"
564 6 NA NA
565 5 8 "0"
567 NA 13 "0"
568 37 NA "0"
572 32 NA "0"
573 14 NA "0"
575 12 NA "0"
577 14 NA "0"
578 23 NA "0"
581 42 45 "0"
582 19 NA "0"
583 NA 15 "0"
584 12 15 "0"
586 58 61 "0"
587 13 16 "0"
588 38 NA "0"
590 NA 30 "0"
591 9 12 "0"
593 NA 15 "0"
594 NA 70 "0"
600 21 NA "0"
601 12 15 "0"
602 NA 8 "0"
603 25 28 "0"
604 32 NA "0"
605 NA 34 "0"
606 NA NA "0"
607 12 15 "0"
609 NA 19 "0"
611 12 15 "0"
615 29 32 "0"
616 NA 49 "0"
618 45 NA "0"
621 20 NA "0"
624 12 NA "0"
627 1 NA "0"
628 NA 5 "0"
632 NA 15 "0"
635 14 17 "0"
636 36 NA "0"
637 30 NA "0"
639 NA 23 "0"
641 NA 12 "0"
642 25 NA "0"
643 6 9 "0"
647 31 34 "0"
648 19 NA NA
649 13 16 "0"
652 51 NA "0"
655 9 12 "0"
656 NA 15 "0"
661 34 NA "0"
662 19 NA "0"
664 13 NA "0"
667 NA 27 "0"
670 21 24 "0"
674 19 NA "0"
675 12 15 "0"
676 12 15 "0"
677 39 42 "0"
678 57 NA "0"
682 7 NA "0"
683 32 35 "0"
684 20 NA "0"
685 4 NA "0"
688 NA 59 "0"
689 43 46 "0"
691 37 NA "0"
692 39 42 "0"
697 37 40 "0"
699 45 NA "0"
700 NA 7 "0"
701 45 NA "0"
703 NA 26 "0"
704 NA 41 "0"
705 2 NA "0"
706 7 10 "0"
710 22 25 "0"
711 13 NA "0"
713 NA 22 "0"
718 7 NA "0"
719 7 NA "0"
720 13 NA "0"
722 16 19 "0"
724 18 NA "0"
726 8 NA "0"
727 28 NA "0"
733 NA NA "0"
734 12 NA "0"
738 22 NA "0"
744 NA 11 "0"
745 28 31 "0"
746 11 NA "0"
748 NA 32 "0"
751 21 NA "0"
754 28 NA "0"
759 2 NA "0"
760 19 NA "0"
763 23 26 "0"
765 23 26 "1"
766 20 23 "0"
768 37 40 "0"
769 24 NA "0"
771 NA 3 "0"
772 69 NA "0"
774 29 NA "0"
775 25 28 "0"
776 21 24 "0"
780 23 NA "0"
781 19 22 "0"
782 66 NA "0"
783 14 17 "0"
784 6 9 "0"
785 5 NA "0"
786 24 27 "0"
787 NA 125 "0"
788 12 NA "0"
793 36 39 "0"
794 11 14 "0"
797 6 9 "0"
800 27 NA "0"
801 17 NA "0"
803 6 NA "0"
804 5 NA "0"
809 12 NA "0"
810 26 NA NA
815 6 NA "0"
816 32 NA "0"
819 32 35 "0"
820 12 15 "0"
822 -2 1 "0"
823 7 NA "0"
824 9 12 "0"
829 11 14 "0"
830 42 NA "0"
831 42 NA "0"
835 7 NA "0"
837 13 NA "0"
840 NA 19 "0"
841 15 NA "0"
845 NA 23 "0"
846 17 NA "0"
848 58 61 "0"
852 NA NA "0"
853 9 12 "0"
854 NA 30 "0"
855 6 NA "0"
856 13 16 "0"
859 11 NA "0"
862 7 NA "0"
864 6 NA "0"
866 47 NA "0"
867 34 NA "0"
868 NA 28 "0"
869 31 NA "0"
870 18 NA "0"
871 32 NA "0"
873 39 NA "0"
874 18 21 "0"
876 15 18 "0"
877 19 NA "0"
878 NA NA "0"
879 NA 17 "0"
881 29 32 "0"
882 NA 18 "0"
887 16 19 "0"
890 21 24 "0"
892 NA 34 "0"
900 35 38 "0"
901 NA 28 "0"
902 18 NA "0"
904 NA NA "0"
906 24 27 "0"
908 14 NA "0"
911 NA 10 "0"
912 NA 16 "0"
914 30 33 "0"
915 NA 19 "0"
916 20 23 "0"
919 19 22 "0"
921 0 3 "0"
924 NA 13 NA
927 17 20 "0"
930 NA 41 "0"
932 99 NA "0"
933 59 NA "0"
939 46 NA "0"
942 12 NA "0"
943 1 NA NA
945 11 NA "0"
949 NA NA "0"
950 13 NA "0"
955 29 NA "0"
956 25 NA "0"
957 16 19 "0"
963 27 NA "0"
964 67 NA "0"
967 27 NA "0"
970 22 NA "0"
973 18 NA "0"
978 4 7 "0"
980 61 NA "0"
981 5 8 "0"
982 64 NA "0"
984 NA 65 "0"
986 9 NA "0"
988 64 NA "0"
989 NA NA "0"
991 24 NA "0"
993 27 NA "0"
1003 NA 42 "0"
1005 NA 10 "0"
1009 11 14 "0"
1011 29 32 "0"
1014 7 10 "0"
1015 10 NA "0"
1017 NA NA "0"
1029 7 NA "0"
1035 NA NA "0"
1039 16 NA "0"
1040 16 19 "0"
1043 12 15 "0"
1045 11 NA "0"
1051 18 NA "0"
1057 7 10 "0"
1061 NA 22 "0"
1066 4 7 "0"
1069 38 NA "0"
1071 14 17 "0"
1072 NA NA "0"
1075 8 11 "0"
1078 13 NA "0"
1082 9 NA "0"
1083 NA 31 "0"
1085 9 NA "0"
1089 NA 63 "0"
1094 11 NA "0"
1103 38 41 "0"
1104 17 NA "0"
1109 9 12 "0"
1114 12 15 "0"
1116 9 NA "0"
1119 NA 9 "0"
1120 16 19 "0"
1126 NA 10 "0"
1127 NA 11 "0"
1130 15 NA "0"
1133 NA 27 "0"
1136 9 12 "0"
1139 30 33 "0"
1140 31 NA "0"
1141 NA 10 "0"
1142 24 NA "0"
1146 12 NA "0"
1152 3 NA "0"
1153 17 20 "0"
1155 NA 5 "0"
1157 13 NA "0"
1159 12 15 "0"
1160 8 11 "0"
1165 12 15 "0"
1169 9 NA "0"
1170 NA 22 "0"
1172 NA 32 "0"
1180 NA 37 "0"
1184 29 NA "0"
1187 18 NA "0"
1189 NA NA "0"
1198 10 13 "0"
1203 NA 10 "0"
1210 18 21 "0"
1219 7 NA "0"
1220 NA 22 "0"
1223 13 NA "0"
1224 15 NA "0"
1225 4 7 "0"
1227 2 NA "0"
1229 47 NA "0"
1230 37 40 "1"
1232 NA 31 "0"
1234 21 NA "0"
1237 NA 20 "0"
1248 6 9 "0"
1258 NA 10 "0"
1259 NA 20 "0"
1262 16 NA "0"
1268 NA 47 "0"
1269 51 NA NA
1272 37 40 "0"
1278 NA 19 "0"
1279 NA 6 "0"
1283 24 27 "0"
1284 26 NA "0"
1285 7 10 "0"
1290 NA 14 "0"
1292 26 29 "0"
1293 19 NA "0"
1295 16 19 "0"
1298 15 NA "0"
1304 25 28 "0"
1307 79 NA "0"
1312 13 16 "0"
1317 12 NA NA
1318 5 NA "0"
1319 NA 10 "0"
1321 NA 16 "0"
1323 NA 13 "0"
1328 21 24 "0"
1330 92 NA "0"
1333 32 35 "0"
1337 12 15 "0"
1338 13 16 "0"
1340 NA 123 "0"
1352 31 NA "0"
1357 NA 13 "0"
1359 5 8 "0"
1364 NA 12 "0"
1367 7 NA "0"
1368 1 4 "0"
1372 NA 11 "0"
1375 17 NA "0"
1377 NA 16 "0"
1379 NA 38 "0"
1380 24 27 "0"
1385 19 NA "0"
1387 43 46 "0"
1388 9 NA "0"
1390 27 NA "0"
1391 NA 15 NA
1392 NA 45 "0"
1394 12 NA "0"
1395 12 NA "0"
1396 NA 48 "0"
1398 NA 32 "0"
1399 26 NA "0"
1401 22 25 "0"
1402 11 NA NA
1404 9 12 "0"
1405 4 7 "0"
1406 2 NA "0"
1407 NA 30 "0"
1408 13 16 "0"
1412 NA 11 "0"
1413 NA 11 "0"
1417 NA 6 "0"
1418 NA 9 "0"
1419 NA 9 "0"
1420 39 NA "0"
1421 31 NA "0"
1422 30 33 "0"
1423 20 NA "0"
1429 NA 40 NA
1439 30 33 "0"
1440 NA 32 "0"
1441 NA 5 "0"
1446 18 21 "0"
1447 18 21 "0"
1449 12 NA "0"
1450 12 NA "0"
1453 NA 17 "0"
1457 NA NA "0"
1460 NA NA "0"
1461 26 NA NA
1463 46 NA "0"
1464 NA 32 "0"
1465 19 22 "0"
1468 35 38 "0"
1469 NA 34 "0"
1472 10 NA "0"
1474 NA 12 "0"
1475 NA 25 "0"
1476 NA 21 "0"
1477 11 14 "0"
1478 NA 3 "0"
1481 5 NA "0"
1485 32 35 "0"
1486 28 31 "0"
1488 NA 29 "0"
1489 20 NA "0"
1490 NA 16 "0"
1492 NA 48 "0"
1493 NA 10 "0"
1494 22 25 "0"
1497 4 7 "0"
1498 48 51 "0"
1499 NA 46 "0"
1500 NA 3 "0"
1502 20 NA "0"
1504 46 49 "0"
1507 45 48 "0"
1514 36 39 "1"
1515 31 34 "0"
1516 58 NA "0"
1517 NA 15 "0"
1520 NA 31 "0"
1522 NA 60 "0"
1523 30 33 "0"
1524 36 39 "0"
1526 57 NA "0"
1531 24 27 "0"
1532 4 7 "0"
1534 55 NA "0"
1535 NA 57 "0"
1539 30 NA "0"
1540 25 28 "0"
1542 13 NA "0"
1547 12 NA "0"
1549 35 38 "0"
1550 11 14 "0"
1551 12 NA "0"
1552 12 15 "0"
1553 NA 12 "0"
1558 5 8 "0"
1559 NA 33 NA
1564 8 NA "0"
1565 22 NA "0"
1567 NA 66 "0"
1568 44 NA "0"
1569 NA 23 "0"
1571 NA 36 "0"
1574 25 28 "0"
1577 13 16 "0"
1582 38 NA "0"
1583 NA 42 "0"
1585 36 39 "0"
1587 13 NA "0"
1590 19 22 "0"
1591 63 66 "0"
1592 14 NA "0"
1594 NA 8 "0"
1595 6 9 "0"
1598 44 NA "0"
1599 32 NA NA
1600 NA 32 "0"
1602 16 NA "0"
1604 3 NA "0"
1606 38 NA "0"
1614 8 NA NA
1618 NA 39 "0"
1621 25 NA NA
1622 24 NA "0"
1623 16 NA "0"
1626 68 71 "0"
1629 19 NA "0"
1631 NA 7 "0"
1636 NA NA "0"
1637 NA 23 "0"
1639 30 NA "0"
1640 NA 23 "0"
1641 13 NA "0"
1644 20 NA "0"
1645 18 21 "0"
1646 NA 6 "0"
1648 25 NA "0"
1649 31 34 "0"
1653 54 57 "0"
1655 28 NA "0"
1657 44 NA "0"
1658 NA 34 "0"
1660 NA 17 "0"
1662 25 NA "0"
1664 NA 26 "0"
1666 16 19 "0"
1667 12 NA "0"
1669 5 NA "0"
1670 NA 31 "0"
1672 45 48 "0"
1673 NA 58 "0"
1675 NA 32 "0"
1679 13 16 "0"
1680 NA 19 "0"
1682 12 NA "0"
1684 NA 15 "0"
1685 20 NA "0"
1686 NA 12 "0"
1689 NA 10 "0"
1691 NA 34 "0"
1695 24 NA "0"
