"identif" "eta98c" "eta01c" "persist" "perdesi"
"1" 19242 NA NA 0 0
"2" 40567 NA NA 0 0
"3" 2890417 NA NA 0 0
"4" 5620343 NA NA 0 0
"5" 5810297 NA NA 0 0
"6" 6160687 NA NA 0 0
"7" 9453110 NA NA 0 0
"8" 10220391 26 29 0 0
"9" 13450821 26 29 0 0
"10" 14560470 NA NA 0 0
"11" 15540218 NA NA 0 0
"12" 16330557 NA NA 0 0
"13" 16460967 NA NA 0 0
"14" 16840238 NA NA 0 0
"15" 18080201 NA NA 0 0
"16" 20020130 NA NA 0 0
"17" 21880043 24 27 0 0
"18" 22590060 NA NA 0 0
"19" 22970368 NA NA 0 0
"20" 23070179 NA NA 0 0
"21" 23690283 NA NA 0 0
"22" 26830894 29 32 0 0
"23" 26910894 NA NA 0 0
"24" 27120889 39 42 0 0
"25" 29770445 NA NA 0 0
"26" 30220116 19 22 0 0
"27" 35070375 NA NA 0 0
"28" 35540062 NA NA 0 0
"29" 36580588 NA NA 0 0
"31" 39970323 NA NA 0 0
"32" 40360902 NA NA 0 0
"33" 40490634 NA NA 0 0
"34" 40750086 NA NA 0 0
"35" 40960321 45 48 0 0
"36" 41040321 NA NA 0 0
"37" 41100083 28 31 0 0
"38" 41370397 NA NA 0 0
"39" 41580300 30 33 0 0
"40" 42010307 38 41 0 0
"41" 42090151 NA NA 0 0
"42" 42150962 41 44 0 0
"43" 42260959 NA NA 0 0
"44" 42390303 NA NA 0 1
"45" 43030304 NA NA 0 0
"46" 43480301 37 40 0 1
"48" 45870293 NA NA 0 0
"49" 45930535 48 51 0 0
"50" 46390531 NA NA 0 0
"51" 46830338 43 46 0 0
"52" 46939026 NA NA 0 0
"53" 47150538 51 54 0 0
"54" 47160139 NA NA 0 0
"55" 47760241 NA NA 0 0
"56" 49690531 NA NA 0 0
"57" 50020925 NA NA 0 0
"58" 50080919 35 38 0 0
"59" 50090860 29 32 0 0
"60" 50110536 49 52 0 0
"61" 50120568 NA NA 0 0
"62" 50130864 NA NA 0 0
"63" 50260529 NA NA 0 0
"64" 50360709 NA NA 0 0
"65" 50490896 NA NA 0 1
"66" 50880328 NA NA 0 0
"67" 50950319 49 52 0 0
"68" 51040716 NA NA 0 0
"69" 51230531 NA NA 0 0
"70" 51390392 NA NA 0 0
"71" 51530534 NA NA 0 0
"72" 51570902 NA NA 0 0
"73" 51780394 47 50 0 0
"74" 51790393 32 35 0 0
"75" 51830538 NA NA 0 0
"76" 51970326 NA NA 0 0
"77" 52220390 NA NA 0 0
"78" 52250462 72 75 0 0
"79" 52670461 NA NA 0 0
"80" 52750560 NA NA 0 0
"81" 52990258 NA NA 0 0
"82" 53050960 NA NA 0 0
"84" 54010567 NA NA 0 0
"85" 54730263 NA NA 0 0
"86" 55180336 65 68 0 0
"88" 56260343 NA NA 0 0
"89" 56590259 64 67 0 0
"90" 56660922 44 47 0 0
"91" 56740260 51 54 0 0
"92" 57547210 NA NA 0 0
"93" 57880157 NA NA 0 0
"95" 57970825 NA NA 0 0
"96" 58490120 74 77 0 0
"97" 58930067 NA NA 0 0
"98" 59020066 NA NA 0 0
"99" 59390824 NA NA 0 0
"100" 59410755 NA NA 0 0
"102" 60070754 46 49 0 0
"103" 60160570 29 32 0 0
"104" 60170686 20 23 0 0
"105" 60170827 35 38 0 0
"106" 60190825 29 32 0 0
"107" 60350750 41 44 0 0
"108" 60420685 35 38 0 0
"109" 60600682 NA NA 0 0
"110" 60610119 NA NA 0 0
"111" 60760825 35 38 0 0
"112" 60830461 NA NA 0 0
"113" 60840593 NA NA 0 0
"115" 61210911 38 41 0 0
"116" 61250917 NA NA 0 0
"117" 61290681 NA NA 0 0
"118" 61370681 37 40 0 0
"119" 61410172 38 41 0 0
"120" 61490687 NA NA 0 0
"121" 61560687 NA NA 0 0
"122" 61740751 27 30 0 0
"123" 61900461 NA NA 0 0
"124" 62200697 31 34 0 0
"125" 62330825 NA NA 0 0
"126" 62440822 NA NA 0 0
"127" 63090964 NA NA 0 0
"129" 63182102 NA NA 0 0
"130" 64820260 37 40 0 0
"131" 65130941 NA NA 0 0
"132" 65920788 NA NA 0 0
"134" 66780942 NA NA 0 0
"135" 66900946 NA NA 0 0
"136" 67680091 NA NA 0 0
"137" 67860941 29 32 0 0
"138" 68900162 NA NA 0 0
"139" 69350404 NA NA 0 0
"141" 69630094 46 49 0 0
"142" 70320065 65 68 0 0
"145" 70470548 NA NA 0 0
"146" 70500542 37 40 0 0
"147" 70570065 NA NA 0 0
"148" 70810404 NA NA 0 0
"149" 70870059 NA NA 0 0
"150" 70930119 NA NA 0 0
"151" 71020094 52 55 0 0
"152" 71020672 NA NA 0 0
"155" 71230487 NA NA 0 0
"156" 71290408 NA NA 0 0
"157" 71360540 35 38 0 0
"158" 71360946 30 33 0 0
"159" 71450945 NA NA 0 0
"160" 71540125 NA NA 0 0
"161" 71590245 NA NA 0 0
"162" 71750138 NA NA 0 0
"163" 71820063 44 47 0 0
"166" 72110068 NA NA 0 0
"167" 72140404 NA NA 0 0
"168" 72210140 NA NA 0 0
"169" 72240840 NA NA 0 0
"170" 72760946 28 31 0 0
"171" 72770945 46 49 0 0
"172" 72850127 NA NA 0 0
"173" 73570948 NA NA 0 0
"174" 73620917 44 47 0 0
"175" 73660947 34 37 0 0
"176" 73680945 NA NA 0 0
"177" 73890559 43 46 0 0
"178" 74410946 NA NA 0 0
"179" 74530941 NA NA 0 0
"180" 74580946 NA NA 0 0
"181" 74600942 30 33 0 0
"182" 74800948 28 31 0 0
"183" 75040924 NA NA 0 0
"184" 75160946 NA NA 0 0
"185" 75180944 NA NA 0 0
"186" 75220752 NA NA 0 0
"187" 76440941 25 28 0 0
"188" 76630483 33 36 0 0
"189" 76666162 NA NA 0 0
"191" 76710376 NA NA 0 0
"192" 77210822 NA NA 0 0
"193" 77340603 NA NA 0 0
"194" 77360437 44 47 0 0
"195" 77460260 NA NA 0 0
"196" 78060606 35 38 0 0
"197" 78180602 NA NA 0 0
"198" 78870863 NA NA 0 0
"200" 79050432 NA NA 0 0
"201" 79820867 NA NA 0 0
"202" 79860434 43 46 0 0
"203" 80030249 NA NA 0 0
"204" 80040430 NA NA 0 0
"205" 80420658 NA NA 0 0
"206" 80510408 NA NA 0 0
"208" 80600431 NA NA 0 0
"209" 80670434 39 42 0 0
"210" 80720651 NA NA 0 0
"211" 80900542 44 47 0 0
"212" 80920847 29 32 0 0
"213" 81050089 NA NA 0 0
"214" 81110893 28 31 0 0
"216" 81330658 34 37 0 0
"217" 81580400 NA NA 0 0
"218" 81820897 NA NA 0 0
"219" 81890072 NA NA 0 0
"220" 81980600 NA NA 0 0
"221" 82020529 NA NA 0 0
"223" 82130601 NA NA 0 0
"224" 82200891 25 28 0 0
"225" 82280604 NA NA 0 0
"226" 82290685 NA NA 0 0
"227" 82340539 37 40 0 0
"228" 82440604 NA NA 0 0
"229" 82750440 NA NA 0 0
"230" 83040916 NA NA 0 0
"231" 83110446 41 44 0 0
"232" 83220443 NA NA 0 0
"233" 83420662 NA NA 0 0
"234" 83700444 32 35 0 0
"235" 83760323 24 27 0 0
"237" 83856291 NA NA 0 0
"238" 83860139 NA NA 0 0
"239" 84440404 NA NA 0 0
"240" 84590406 NA NA 0 0
"241" 84640748 NA NA 0 0
"243" 84910529 NA NA 0 0
"244" 85050905 NA NA 0 0
"245" 85840272 NA NA 0 0
"247" 86170272 NA NA 0 0
"248" 86780159 NA NA 0 0
"249" 87060522 NA NA 0 0
"251" 87330701 NA NA 0 0
"252" 87570686 NA NA 0 0
"253" 87790482 NA NA 0 0
"254" 88160487 NA NA 0 0
"256" 88570487 NA NA 0 0
"257" 88950913 NA NA 0 0
"258" 89090485 NA NA 0 0
"259" 89610266 29 32 0 0
"260" 89850524 45 48 0 0
"261" 89960893 NA NA 0 0
"262" 90180705 37 40 0 0
"263" 90270769 NA NA 0 0
"264" 90380438 NA NA 0 0
"265" 90490435 34 37 0 0
"266" 90520777 NA NA 0 0
"267" 90530610 NA NA 0 0
"269" 90620817 39 42 0 0
"270" 90740615 NA NA 0 0
"271" 90810739 40 43 0 0
"273" 90870701 NA NA 0 0
"274" 90900433 NA NA 0 0
"276" 91160441 35 38 0 0
"277" 91160748 38 41 0 0
"278" 91170705 28 31 0 0
"279" 91200437 NA NA 0 0
"281" 91260043 NA NA 0 0
"282" 91360053 NA NA 0 0
"283" 91380486 NA NA 0 0
"284" 91570706 NA NA 0 0
"285" 91820945 NA NA 0 0
"286" 91960699 32 35 0 0
"288" 92360701 28 31 0 0
"289" 92380699 36 39 0 0
"290" 92380741 65 68 0 0
"291" 92450528 32 35 0 0
"292" 92600445 NA NA 0 0
"293" 92610436 NA NA 0 0
"294" 92680702 NA NA 0 0
"295" 92880526 NA NA 0 0
"296" 93230432 26 29 0 0
"297" 93410430 30 33 0 0
"298" 93810431 29 32 0 0
"299" 93990431 28 31 0 0
"300" 94210706 33 36 0 0
"301" 94560347 NA NA 0 0
"302" 95080322 NA NA 0 0
"303" 95200623 NA NA 0 0
"304" 95420068 NA NA 0 0
"305" 95610532 NA NA 0 0
"306" 95620622 35 38 0 0
"307" 95780566 NA NA 0 0
"308" 95990223 30 33 0 0
"309" 96320461 25 28 0 0
"310" 96450657 NA NA 0 0
"311" 96570438 NA NA 0 0
"312" 96760146 30 33 0 0
"313" 96820577 26 29 0 0
"315" 97210456 NA NA 0 0
"317" 97780919 NA NA 0 0
"319" 97970421 NA NA 0 0
"321" 98960348 46 49 0 0
"322" 99040421 NA NA 0 0
"323" 100130344 40 43 0 0
"324" 100300806 NA NA 0 0
"325" 100480624 NA NA 0 0
"326" 100500074 NA NA 0 0
"327" 100610527 27 30 0 0
"328" 100640938 NA NA 0 0
"329" 100730523 NA NA 0 0
"330" 100740613 34 37 0 0
"331" 100760108 46 49 0 0
"332" 100900100 48 51 0 0
"334" 100920611 NA NA 0 0
"336" 101020750 30 33 0 0
"337" 101280528 27 30 0 1
"338" 101360346 44 47 0 0
"339" 101390450 NA NA 0 0
"340" 101440528 NA NA 0 0
"341" 101640523 26 29 0 0
"342" 101690718 NA NA 0 0
"343" 101770528 NA NA 0 0
"344" 101780527 NA NA 0 0
"345" 101830611 NA NA 0 0
"346" 102010453 NA NA 0 0
"348" 102310522 NA NA 0 0
"349" 102330140 25 28 0 0
