"X1" "X2" "X3" "X4" "X5" "X6" "X7"
45 1991 0 0 0 0 1
140 1990 0 0 0 0 1
168 1991 0 0 0 0 1
183 1991 0 0 0 0 1
267 1991 0 0 0 0 1
268 1991 0 0 0 0 1
280 1991 0 0 0 0 1
403 1991 0 0 0 0 1
423 1991 0 0 0 0 1
614 1991 0 0 0 0 1
719 1990 0 0 0 0 1
805 1991 0 0 0 0 1
882 1991 0 0 0 0 1
931 1991 0 0 0 0 1
932 1991 0 0 0 0 1
984 1991 0 0 0 0 1
1120 1991 0 0 0 0 1
1141 1991 0 0 0 0 1
1161 1991 0 0 0 0 1
1165 1991 0 0 0 0 1
1179 1991 0 0 0 0 1
1236 1991 0 0 0 0 1
1237 1991 0 0 0 0 1
1242 1991 0 0 0 0 1
1252 1991 0 0 0 0 1
1304 1990 0 0 0 0 1
1340 1990 0 0 0 0 1
1342 1991 0 0 0 0 1
1426 1991 0 0 0 0 1
1469 1991 0 0 0 0 1
1471 1991 0 0 0 0 1
1504 1991 0 0 0 0 1
1507 1990 0 0 0 0 1
1557 1990 0 0 0 0 1
1559 1990 0 0 0 0 1
1609 1990 0 0 0 0 1
1649 1991 0 0 0 0 1
1725 1991 0 0 0 0 1
1734 1991 0 0 0 0 1
1764 1990 0 0 0 0 1
1775 1990 0 0 0 0 1
1786 1991 0 0 0 0 1
1790 1991 0 0 0 0 1
1797 1991 0 0 0 0 1
1800 1991 0 0 0 0 1
1801 1991 0 0 0 0 1
1808 1991 0 0 0 0 1
1810 1991 0 0 0 0 1
1811 1991 0 0 0 0 1
1814 1991 0 0 0 0 1
1818 1991 0 0 0 0 1
1822 1991 0 0 0 0 1
1830 1991 0 0 0 0 1
1832 1991 0 0 0 0 1
1836 1991 0 0 0 0 1
1837 1991 0 0 0 0 1
1840 1991 0 0 0 0 1
1842 1991 0 0 0 0 1
1847 1991 0 0 0 0 1
1860 1991 0 0 0 0 1
1862 1991 0 0 0 0 1
1863 1991 0 0 0 0 1
