"identif" "d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "isgru" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "razd" "raz01d" "duacq" "dusco" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm" "desi01" "persist" "perdesi"
19242 NA NA NA NA NA NA NA NA NA 1 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 2 NA NA 45 49 50 6 NA 1 1 1 0 0 0 0 1 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 1 0 0
40567 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 23 23 25 28 NA 1 0 0 0 0 0 1 0 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 0 0 0
5620343 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 2 1 NA NA 18 18 18 83 NA 1 0 0 0 0 1 0 0 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 1 0 0
6160687 NA NA NA NA NA NA NA NA NA 1 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 2 2 NA NA 205 214 215 29 NA 1 0 0 1 0 1 0 0 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 0 0 0
9453110 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 50 50 50 23 NA 1 0 0 0 0 1 0 0 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 0 0 0
10220391 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 4050.05500265975 1375.3247222753 8047.43140161238 840.275374818594 716.325719037118 123.949655781477 5.68102588998435 1323.67903236635 NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA NA NA 44 46 48 29 29 1 0 0 0 0 0 0 1 0 0.154878629224179 0.147510755992625 0.243979057591623 8.99310823895054 0.682926829268293 0 0.0995614662892028 0 0 0 0
10220391 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 5070.57383526058 1476.55027449684 9821.97730688385 1267.90168726469 1209.54205766758 58.359629597112 19.6253621654005 1406.82859311976 NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA NA NA 44 46 48 29 29 1 0 0 0 0 0 0 1 0 0.193657805474481 0.0460285132382892 0.214877336909363 9.19237773615912 0.598704696626315 0 0.100247520197656 0 0 0 0
10220391 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 6453 1498 11499 1293 1231 62 10 1438 NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA NA NA 44 46 48 29 29 1 0 0 0 0 0 0 1 0 0.162621053955477 0.0479505027068832 0.180857753741668 9.35001535404867 0.632456223065049 0 0.100114425048501 0 0 0 0
13450821 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 4878.96832569838 4263.8681588828 4329.45818506717 230.856233893001 7.74685348634256 223.109380406658 11.3620517799687 4236.49594323106 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 23 25 29 29 29 1 0 0 0 0 0 1 0 0 0.0252499576342993 0.966442953020133 0.463367790769926 8.37319768269759 0.682926829268293 1 0.0995614662892028 0 0 0 0
13450821 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 5308.14400884174 4291.24037453454 5057.66241278334 256.679078847475 16.5266207708633 240.152458076611 7.23039658725281 4267.99981407552 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 23 25 29 29 29 1 0 0 0 0 0 1 0 0 0.0267391187389035 0.935613682092556 0.444611825469414 8.52865968178052 0.598704696626315 1 0.100247520197656 0 0 0 0
